SEDE,LUOGO,NUM_HOTSPOT,LAT,LON,COD_IMPIANTO,NOTE
PIAZZA SANT'ORONZO,PIAZZA SANT'ORONZO,1,40.353201,18.17281,,
VILLA COMUNALE,VIE G. GARIBALDI - SAN FRANCESCO D'ASSISI - G. MARCONI - VIALE 25 LUGLIO,2,40.355033,18.174155,,
PIAZZA MADRE TERESA DI CALCUTTA,VIA AVELLINO - VIA CAGLIARI - VIA PESCARA,1,40.360345,18.206449,,
PARCO TAFURO,VIA ANTONIO DELL'ABATE - VIA LUIGI CORVAGLIA,2,40.339724,18.17371,,
STADIO COMUNALE,VIA DEL MARE,3,40.36520941,18.20857286,,
CHIESA SANTA CHIARA,PIAZZA VITTORIO EMANUELE II,1,40.352569,18.169323,,
VIA TRINCHESE,VIA TRINCHESE,3,40.353463,18.174273,,
CHIESA SANTA CROCE,VIA UMBERTO I,1,40.35501,18.17267,,
PIAZZA MAZZINI,VIA S. TRINCHESE - MONTE SAN MICHELE - G. OBERDAN - NAZARIO SAURO,2,40.352785,18.179813,,
OFFICINE CANTELMO,VIALE MICHELE DE PIETRO,1,40.358907,18.173011,,
PIAZZETTA PORTA NAPOLI,VIA F. CALASSO - CORTE VINCENZO LICCI - VIA ADUA - VIALE DELL'UNIVERSITA',1,40.356532,18.168418,,
VIA DEI PERRONI,VIA DEI PERRONI,2,40.349855,18.172114,,
PALAZZO DI GIUSTIZIA,VIALE MICHELE DE PIETRO,1,40.358907,18.173011,,
LUNGOMARE SAN CATALDO,VIA C. COLOMBO - VIA G. DA VERAZZANO - VIA A.VESPUCCI,6,40.390308,18.305835,,
PIAZZA DUOMO,VIA G. LIBERTINI,1,40.352334,18.168814,,
PARCO DI BELLOLUOGO,PARCO DI BELLOLUOGO,2,40.362001,18.159491,,
ASSOCIAZIONE CULTURALE ACH,VIA DI PETTORANO,1,40.360706,18.175985,,
MUST (MUSEO STORICO DI LECCE),VIA DEGLI AMMIRATI,4,40.351945,18.170951,,
AGENZIA EUROMEDITERRANEO (EX CONS. SANT'ANNA),VIA LIBERTINI,1,40.35142,18.165378,,
CASTELLO CARLO V,VIALE 25 LUGLIO,3,40.353216,18.174434,,
STAZIONE CARABINIERI,VIA LUPIAE,7,40.356157,18.185358,,
PALAZZO CARAFA,PALAZZO,8,40.35337,18.17184,,
Linea Lecce-Monteroni,BUS1,1,,,,
Linea Lecce-Monteroni,BUS2,1,,,,
Linea Lecce-Monteroni,BUS3,1,,,,
Via Dei Templari,Via Dei Templari,1,40.35430833,18.17270277,,
Via Umberto I,Via Umberto I,2,40.35531111,18.17271111,,
Via Principe di Savoia,Via Principe di Savoia,1,40.35626111,18.17146944,,
Via Principe di Savoia,Via Principe di Savoia,1,40.35627777,18.17023611,,
Via G. Palmieri,Via G. Palmieri,1,40.35567777,18.16856111,,
Via G. Palmieri,Via G. Palmieri,1,40.35311388,18.16860277,,
Via V. Emanuele II,Via V. Emanuele II,1,40.35246388,18.16936666,,
Via V. Emanuele II,Via V. Emanuele II,1,40.35295277,18.17182777,,
ASCANIO GRANDI,VIA PATITARI,1,40.34729,18.18188,01_ASCANIOGRANDI,
BANZI,P.ZZA PALIO,1,40.36113,18.19251,02_BANZI,
CALASSO,VIA BELICE,1,40.36916,18.17347,03_CALASSO,
CALASSO,VIA GARIBALDI,1,40.35631,18.17413,04_CALASSO,
CESARE BATTISTI,VIA COSTA,1,40.35424,18.17544,05_CESAREBATTISTI,
COLUMELLA,VIA A. MAZZOTTA,1,40.33236,18.14495,06_COLUMELLA,
COLUMELLA,VIA VECCHIA COPERTINO,1,40.34083,18.15263,07_COLUMELLA,
DE GIORGI,VIA DE PIETRO,1,40.35949,18.17168,12_DEGIORGI,
DE GIORGI,VIA POZZUOLO,1,40.35729,18.16071,13_DEGIORGI,ASSENZA ALIMENTAZIONE
DE PACE,V.LE MARCHE,1,40.34466,18.17282,14_DEPACE,ASSENZA ALIMENTAZIONE
DE PACE,VIA MIGLIETTA,1,40.34707,18.17832,15_DEPACE,
DELEDDA,P.ZZA PALIO,1,40.36126,18.19415,16_DELEDDA,
E. DE AMICIS,P.TTA CONTE ACCARDO,1,40.35808,18.17144,18_DEAMICIS,
E. DE AMICIS,VIA PALUMBO,1,40.36318,18.18593,19_DEAMICIS,
E. FERMI,VIA MERINE,1,40.34663,18.18558,20_FERMI,
G. PELLEGRINO CIARDO,VIA VECCHIA COPERTINO,1,40.34144,18.15368,21_PELLEGRINOCIARDO,
G. PELLEGRINO CIARDO,VIALE DE PIETRO,1,40.35882,18.17282,22_PELLEGRINOCIARDO,
GALATEO-FRIGOLE,VIA D. FONTANA,1,40.36376,18.1701,24_GALATEOFRIGOLE,
GALILEI COSTA,P.ZZA PALIO,1,40.36055,18.19457,25_GALILEICOSTA,
GALILEI COSTA,P.TTA DE SANCTIS,1,40.35391,18.17496,26_GALILEICOSTA,
L. TEMPESTA,VIA A. DA TARANTO,1,40.36769,18.17488,27_TEMPESTA,
L. TEMPESTA,VIA OFANTO,1,40.36349,18.17448,28_TEMPESTA,
MARCELLINE,V.LE OTRANTO,1,40.34782,18.17512,29_MARCELLINE,
OLIVETTI,VIA MARUGI,1,40.34472,18.18541,30_OLIVETTI,
OXFORD,VIA ADRIATICA,1,40.36325,18.17015,31_OXFORD,
P. SICILIANI,VIA LEUCA,1,40.34737,18.17383,32_SICILIANI,
P. SICILIANI,VIA DON BOSCO,1,40.34748,18.16461,33_SICILIANI,
PALMIERI,V.LE DELL'UNIVERSITA',1,40.35456,18.16624,35_PALMIERI,
QUINTO ENNIO,VIA IMBRIANI,1,40.35543,18.18252,36_QUINTOENNIO,
S. CASTROMEDIANO,VIA CANTOBELLI,1,40.33871,18.18085,37_CASTROMEDIANO,
S. CASTROMEDIANO,VIA VALZANI,1,40.33108,18.15265,38_CASTROMEDIANO,
SCARAMBONE MARCONI,VIA D. BIRAGO,1,40.35375,18.15406,42_SCARAMBONEMARCONI,
SEMINARIO ARCIVESCOVILE,VIA UMBRIA,1,40.33676,18.18451,43_SEMINARIO,DISMESSA
STOMEO -ZIMBALO,VIA CARRARA,1,40.36489,18.2008,44_STOMEOZIMBALO,
STOMEO -ZIMBALO,VIA SIRACUSA,1,40.36327,18.19903,45_STOMEOZIMBALO,
STOMEO -ZIMBALO,VIALE ROMA,1,40.35882,18.20006,46_STOMEOZIMBALO,
VIRGILIO,VIA GALILEI,1,40.34691,18.15059,48_VIRGILIO,
VIRGILIO,VIA DEI SALESIANI,1,40.36374,18.18185,49_VIRGILIO,
BANCA DEL LIBRO,VIA U. FOSCOLO,1,40.36336,18.17458,50_BANCALIBRO,
BIBLIOTECA CARACCIOLO (Monaci),VIA I. ADRIANO,1,40.35542,18.18083,51_CARACCIOLO,
MUSEO CARTAPESTA (Carlo V),VIA XXV LUGLIO,1,40.35238,18.17471,52_CARTAPESTA,
BIBLIOTECA BERNARDINI,VIA CAIROLI,1,40.34949,18.16873,53_BERNARDINI,
MUSEO FAGGIANO,VIA A. GRANDI,1,40.3501,18.17245,54_FAGGIANO,
MUSEO S. CASTROMEDIANO,VIALE GALLIPOLI,1,40.34703,18.17034,57_CASTROMEDIANO,
MUSEO FERROVIARIO,VIA CODACCI PISANELLI,1,40.34438,18.16666,58_FERROVIARIO,
CENTRO VOLARE ALTO,VIA SIRACUSA,1,40.36349,18.20131,59_VOLAREALTO,
BIBLIOTECA PELLUCISAPE,VIA PISTOIA,1,40.36616,18.19987,60_PELLUCISAPE,
MUSEO EGIZIO,V.LE A. MORO,1,40.35533,18.19281,61_EGIZIO,
BIBLIOTECA BERNARDINI C/O MUSEO,VIALE GALLIPOLI,1,40.34703,18.17034,62_BERNARDINIMUSEO,
PIAZZETTA CASTROMEDIANO,PIAZZETTA CASTROMEDIANO,1,40.35422,18.17243,63_PIAZZCASTROMEDIANO,
EX CONVENTO TEATINI,CORSO VITTORIO EMANUELE,1,40.35248,18.16963,64_CONVENTOTEATINI,
TEATRO PAISIELLO,VIA PALMIERI,1,40.35558,18.1687,65_TEATROPAISIELLO,
TRIBUNALE,VIALE DE PIETRO,1,40.35920,18.17337,66_TRIBUNALE,
